type,title,original_title,year,tvdb_id,tmdb_id,favorite,list_status,added_at,for_later_at,stopped_watching_at,hidden_at
movie,Se7en,Se7en,1995,,807,no,following,2025-12-15T11:02:59.000Z,,,
movie,The Social Network,The Social Network,2010,,37799,no,following,2025-12-15T04:52:19.000Z,,,
movie,Schindler's List,Schindler's List,1993,,424,no,following,2025-12-15T04:52:00.000Z,,,
show,True Detective,True Detective,2014,270633,46648,no,for_later,2025-12-12T14:36:41.000Z,2025-12-12T14:36:41.000Z,,
show,IT: Welcome to Derry,IT: Welcome to Derry,2025,418424,200875,no,watching,2025-12-06T06:03:34.000Z,,,
show,SANDA,SANDA,2025,452103,258901,no,watching,2025-11-19T13:35:10.000Z,,,
show,Tatsuki Fujimoto 17-26,藤本タツキ17-26,2025,467641,299778,no,watching,2025-11-18T10:55:01.000Z,,,
show,PLUR1BUS,PLUR1BUS,2025,436457,225171,no,watching,2025-11-17T16:21:57.000Z,,,
show,Formula 1: Drive to Survive,Formula 1: Drive to Survive,2019,359913,87083,no,watching,2025-11-16T10:01:01.000Z,,,
show,My Teen Romantic Comedy SNAFU,やはり俺の青春ラブコメはまちがっている。,2013,267435,65676,no,watching,2025-10-24T10:11:11.000Z,,,
show,The Seven Deadly Sins: Four Knights of the Apocalypse,七つの大罪 黙示録の四騎士,2023,420018,218843,no,watching,2025-10-21T16:56:14.000Z,,,
movie,The Seven Deadly Sins: Grudge of Edinburgh Part 2,七つの大罪 怨嗟のエジンバラ 後編,2023,,1064835,no,following,2025-10-21T16:55:23.000Z,,,
movie,The Seven Deadly Sins: Grudge of Edinburgh Part 1,七つの大罪 怨嗟のエジンバラ 前編,2022,,989937,no,following,2025-10-21T16:55:19.000Z,,,
show,Drifters (2016),ドリフターズ,2016,312559,68103,no,watching,2025-10-18T13:32:03.000Z,,,
show,Ranma ½ (2024),らんま½ (2024),2024,451479,259140,no,watching,2025-10-16T12:59:36.000Z,,,
